id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Crown Moves,DJ Apex,hip-hop,hyped,0.88,95,0.72,0.91,0.08
12,Velvet Hours,Sable and Co,r&b,romantic,0.55,88,0.78,0.74,0.32
13,Morning Sonata,Ivory Keys,classical,peaceful,0.22,52,0.75,0.20,0.98
14,Iron Circuit,Fault Line,metal,angry,0.97,168,0.22,0.55,0.04
15,Dirt Road Echo,June Hollow,country,nostalgic,0.53,96,0.68,0.63,0.75
16,Hollow Sunday,Vera Lane,soul,melancholic,0.44,70,0.31,0.48,0.61
17,Peak Hour,Static Drop,edm,euphoric,0.95,128,0.88,0.94,0.02
18,Lantern Drift,The Pines,folk,dreamy,0.33,82,0.66,0.44,0.91
19,Sol y Mar,Cayo Libre,latin,uplifting,0.79,105,0.90,0.87,0.28
20,Empty Bottle Blues,Ray Morrow,blues,sad,0.46,68,0.24,0.51,0.68
